数据日期,DB_TIME,DB_TPS,DB_QPS
2018/5/19,0.54,17.56,157.07
2018/5/20,0.51,17.45,154.41
2018/5/21,2.13,49.96,464.84
2018/5/22,1.82,48.35,431.7
2018/5/23,1.8,46.85,434.42
2018/5/24,1.74,52.08,469.83
2018/5/25,2.12,65.97,562.37
2018/5/26,0.66,21.85,189.01
2018/5/27,0.55,18.04,159.03
2018/5/28,2.22,49.45,439.4
2018/5/29,2.04,48.13,428.92
2018/5/30,1.59,38.88,353.5
2018/5/31,1.75,40.49,389.0
2018/6/1,2.54,71.88,601.05
2018/6/2,0.7,23.99,209.03
2018/6/3,0.57,19.58,172.28
2018/6/4,2.12,48.06,446.01
2018/6/5,0.72,33.66,252.0
2018/6/6,1.86,45.76,410.72
2018/6/7,1.78,41.18,382.39
2018/6/8,1.6,40.71,361.65
2018/6/9,0.59,26.75,204.16
2018/6/10,0.54,17.58,159.35
2018/6/11,2.1,50.16,467.23
2018/6/12,1.82,44.44,406.87
2018/6/13,1.81,42.64,396.86
2018/6/14,1.7,39.87,365.36
2018/6/15,2.12,52.6,463.85
2018/6/16,0.65,18.28,163.55
2018/6/17,0.47,14.77,132.12
2018/6/18,0.49,15.4,139.51
2018/6/19,2.47,50.78,467.42
2018/6/20,2.11,55.26,500.92
2018/6/21,1.83,45.06,407.69
2018/6/22,1.89,39.88,357.43
2018/6/23,0.58,18.42,165.01
2018/6/24,0.55,17.05,151.31
2018/6/25,2.3,49.86,432.18
2018/6/26,1.93,44.88,409.69
2018/6/27,1.89,41.07,385.33
2018/6/28,2.12,44.07,419.03
2018/6/29,1.9,43.72,413.65
2018/6/30,0.72,28.83,254.62
2018/7/1,0.59,22.37,195.82
2018/7/2,0.67,34.87,271.25
2018/7/3,1.91,49.35,447.97
2018/7/4,1.61,40.24,361.38
2018/7/5,1.7,44.77,397.54
2018/7/6,0.65,32.67,254.6
2018/7/7,0.5,17.47,154.83
2018/7/8,0.45,15.7,140.29
2018/7/9,1.82,42.93,404.08
2018/7/10,1.84,56.02,483.98
2018/7/11,1.59,40.29,356.32
2018/7/12,0.63,32.36,252.52
2018/7/13,2.18,68.69,450.25
2018/7/14,0.56,20.2,177.11
2018/7/15,0.52,18.86,164.4
2018/7/16,4.09,53.24,481.82
2018/7/17,1.8,47.98,430.86
2018/7/18,1.62,40.55,360.09
2018/7/19,1.74,37.9,342.06
2018/7/20,0.61,33.97,265.25
2018/7/21,0.63,20.23,177.1
2018/7/22,0.46,23.67,191.35
2018/7/23,1.95,46.21,423.44
2018/7/24,0.57,31.28,245.41
2018/7/25,2.01,50.04,440.02
2018/7/26,1.76,41.82,376.43
2018/7/27,1.89,44.41,397.23
2018/7/28,0.53,19.29,169.1
2018/7/29,0.52,17.26,151.26
2018/7/30,1.85,45.12,391.97
2018/7/31,2.05,47.99,426.63
2018/8/1,2.44,75.17,620.12
2018/8/2,1.81,47.33,407.83
2018/8/3,1.81,49.42,426.22
2018/8/4,0.63,21.9,189.72
2018/8/5,0.52,20.0,172.82
2018/8/6,2.22,61.0,540.56
2018/8/7,1.75,49.81,447.25
2018/8/8,1.63,46.36,410.58
2018/8/9,1.73,44.03,396.95
2018/8/10,2.19,62.72,543.98
2018/8/11,0.6,22.8,199.62
2018/8/12,0.52,20.22,175.53
2018/8/13,2.01,54.11,494.65
2018/8/14,2.06,51.84,469.25
2018/8/15,2.14,70.16,598.85
2018/8/16,1.81,48.99,436.0
2018/8/17,1.85,46.65,415.17
2018/8/18,0.57,21.84,192.37
2018/8/19,0.55,19.45,170.87
2018/8/20,2.15,68.28,586.56
2018/8/21,1.85,55.3,481.9
2018/8/22,1.86,46.93,416.47
2018/8/23,1.95,45.77,415.5
2018/8/24,2.35,67.12,581.03
2018/8/25,0.47,25.82,208.75
2018/8/26,0.55,18.25,162.87
2018/8/27,2.18,51.12,466.86
2018/8/28,2.32,76.74,647.05
2018/8/29,1.76,42.41,382.14
2018/8/30,1.62,40.61,376.95
2018/8/31,1.87,48.64,432.68
2018/9/1,0.77,32.49,277.07
2018/9/2,0.72,26.96,229.72
2018/9/3,2.91,97.64,782.41
2018/9/4,1.97,58.31,516.88
2018/9/5,2.1,63.75,546.62
2018/9/6,1.93,62.6,547.18
2018/9/7,1.8,47.79,434.8
2018/9/8,0.59,21.32,191.13
2018/9/9,0.53,20.01,180.37
2018/9/10,2.04,66.26,563.2
2018/9/11,1.74,53.57,479.24
2018/9/12,2.13,83.53,635.52
2018/9/13,1.67,48.18,441.7
2018/9/14,2.31,60.37,531.35
2018/9/15,0.54,27.75,225.23
2018/9/16,0.49,16.96,153.98
2018/9/17,1.94,48.46,455.53
2018/9/18,1.61,50.72,443.32
2018/9/19,1.42,55.28,480.06
2018/9/20,1.59,54.31,484.63
2018/9/21,1.46,45.54,412.27
2018/9/22,0.37,17.67,164.3
2018/9/23,0.33,14.69,137.1
2018/9/24,0.33,13.96,131.08
2018/9/25,0.7,34.25,260.87
2018/9/26,1.61,57.15,528.62
2018/9/27,2.12,61.83,560.54
2018/9/28,2.02,94.01,631.52
2018/9/29,1.29,44.51,399.82
2018/9/30,0.69,31.98,288.2
2018/10/1,0.31,13.72,126.13
2018/10/2,0.29,11.81,108.05
2018/10/3,0.28,11.64,107.46
2018/10/4,0.34,12.7,115.28
2018/10/5,0.34,13.67,125.55
2018/10/6,0.36,15.29,140.33
2018/10/7,0.49,20.73,187.03
2018/10/8,0.68,35.87,274.99
2018/10/9,1.81,82.34,733.63
2018/10/10,2.17,82.23,726.61
2018/10/11,1.39,61.9,560.55
2018/10/12,1.57,54.84,512.05
2018/10/13,0.44,23.31,213.79
2018/10/14,0.43,20.1,187.43
2018/10/15,1.88,71.85,664.67
2018/10/16,1.49,57.42,526.89
2018/10/17,1.51,63.55,578.26
2018/10/18,1.59,53.54,498.12
2018/10/19,1.65,67.93,597.61
2018/10/20,0.46,22.37,206.99
2018/10/21,0.39,19.74,182.4
2018/10/22,1.85,59.93,573.75
2018/10/23,1.93,106.7,712.45
2018/10/24,1.64,70.6,611.55
2018/10/25,1.81,66.4,602.94
2018/10/26,1.67,51.23,471.13
2018/10/27,0.44,21.34,196.44
2018/10/28,0.4,18.97,175.51
2018/10/29,1.65,53.83,512.44
2018/10/30,1.69,56.09,511.66
2018/10/31,1.5,54.78,519.6
2018/11/1,1.9,74.69,674.19
2018/11/2,1.9,58.75,527.28
2018/11/3,0.45,25.0,226.81
2018/11/4,0.52,24.37,219.54
2018/11/5,1.92,69.78,636.46
2018/11/6,1.44,57.07,520.09
2018/11/7,1.56,55.97,519.18
2018/11/8,1.37,47.14,447.84
2018/11/9,1.47,54.89,502.48
2018/11/10,0.47,24.13,219.98
2018/11/11,0.54,19.93,182.84
2018/11/12,0.56,31.9,252.38
2018/11/13,1.53,56.61,527.3
2018/11/14,1.48,53.82,494.67
2018/11/15,1.55,58.72,536.0
2018/11/16,1.48,50.82,468.02
2018/11/17,0.46,23.6,215.65
2018/11/18,0.44,20.81,190.58
2018/11/19,1.65,58.17,531.21
2018/11/20,1.69,67.36,614.74
2018/11/21,1.57,57.5,525.76
2018/11/22,1.29,48.89,458.1
2018/11/23,0.54,30.34,231.71
2018/11/24,0.47,22.43,206.2
2018/11/25,0.56,20.68,191.24
2018/11/26,1.7,63.83,569.46
2018/11/27,1.67,57.39,534.75
2018/11/28,1.65,53.38,491.5
2018/11/29,1.54,55.6,524.49
