数据日期,DB_TIME,DB_TPS,DB_QPS
2017/6/13,1.71,100.28,464.58
2017/6/14,10.55,221.61,11118.67
2017/6/14,0.53,31.87,263.28
2017/6/14,1.09,31.1,269.31
2017/6/15,10.8,236.8,11733.12
2017/6/15,0.56,34.55,297.24
2017/6/15,1.11,32.37,276.43
2017/6/16,12.04,231.62,11288.76
2017/6/16,0.64,38.89,306.52
2017/6/16,1.08,29.59,256.48
2017/6/17,8.66,197.34,8784.88
2017/6/17,0.49,31.43,256.07
2017/6/17,0.36,12.83,105.45
2017/6/18,9.58,215.68,9102.37
2017/6/18,0.34,11.38,93.73
2017/6/18,0.5,30.89,253.63
2017/6/19,11.39,244.23,11811.69
2017/6/19,1.45,41.75,309.48
2017/6/19,0.6,38.67,303.82
2017/6/20,12.22,250.47,11958.43
2017/6/20,1.17,34.14,292.68
2017/6/20,0.6,38.7,303.77
2017/6/21,11.08,244.02,11523.24
2017/6/21,1.23,30.7,277.49
2017/6/21,0.57,35.81,282.35
2017/6/22,12.89,246,11617.72
2017/6/22,0.62,34.86,288.19
2017/6/22,1.19,30.32,274.21
2017/6/23,0.62,35.46,278.32
2017/6/23,12.28,249.31,11670.14
2017/6/23,1.07,28.96,256.26
2017/6/24,10.73,220.75,9538.62
2017/6/24,0.41,13.04,107.31
2017/6/24,0.54,30.83,248.81
2017/6/25,10.23,217.72,9109.78
2017/6/25,0.53,29.59,241.86
2017/6/25,0.33,11.54,95.93
2017/6/26,12.36,263.91,12136.94
2017/6/26,0.58,37.05,289.58
2017/6/26,1.42,33.75,300.9
2017/6/27,11.86,261.66,11815.59
2017/6/27,1.76,80.11,435.76
2017/6/27,0.57,36.81,287.59
2017/6/28,13.88,263.77,11702.19
2017/6/28,1.32,29.11,264.4
2017/6/28,0.58,35.1,276.05
2017/6/29,11.57,255.31,11288.33
2017/6/29,0.53,34.75,271.64
2017/6/29,1.4,26.72,254.7
2017/6/30,11.98,266.05,11591.6
2017/6/30,1.35,32,280.63
2017/6/30,0.57,37.97,295.52
2017/7/1,10.61,240.99,9953.15
2017/7/1,0.5,33.87,272.82
2017/7/1,0.69,31.99,255.41
2017/7/2,10.09,232.78,9549.14
2017/7/2,0.47,30.97,251.4
2017/7/2,0.61,20.89,167.93
2017/7/3,12.43,269,12434.9
2017/7/3,0.57,38.52,300.05
2017/7/3,2.03,72.27,489.6
2017/7/4,12.25,263.88,12189.84
2017/7/4,0.55,36.34,283.52
2017/7/4,1.4,38.29,320.37
2017/7/5,12.19,263.47,12321.13
2017/7/5,0.54,35.25,276.63
2017/7/5,1.31,33.96,288.43
2017/7/6,13.72,261.44,12370.48
2017/7/6,0.54,34.62,271.28
2017/7/6,1.12,31.59,281.21
2017/7/7,13.84,266.83,12946.35
2017/7/7,0.56,36.62,284.63
2017/7/7,1.79,84.98,463.64
2017/7/8,11.17,234.17,10450.25
2017/7/8,0.48,30.87,247.49
2017/7/8,0.41,15.32,124.39
2017/7/9,11.15,238.15,10268.85
2017/7/9,0.47,29.53,238.72
2017/7/9,0.35,12.23,99.72
